pid,syear,hid,cid,intid,im_107,exp_stop_work,exp_stop_work_rob_plus1,exp_stop_work_rob_minus1,exp_pens_uptake,exp_pens_uptake_rob_plus1,exp_pens_uptake_rob_minus1,pol_unc_stat_ret_age_67,pol_unc_stat_ret_age_68,pol_unc_stat_ret_age_69,belief_pens_deduct,belief_pens_deduct_rob_times1_5,belief_pens_deduct_rob_times0_5,scen_age_66_stop_work,scen_age_68_stop_work,scen_age_69_stop_work,sex,gebjahr,gebmonat,fweights,float_interview,float_birth_date,float_age,age,education,health,informed,current_SRA,time_to_ret,mu,sigma,ex_val,var,error_1,error_2
9015602.0,2022.0,901563.0,952141.0,-8.0,1.0,65.0,60.0,30.0,67.0,20.0,30.0,20.0,60.0,20.0,23.0,30.0,50.0,65.0,65.0,66.0,0,1994,4,18552.120664344147,2021.9753424657533,1994.3333333333333,27.64200913242007,27.0,1.0,0.0,False,67.0,39.35799086757993,68.0,2.0,68.65851066409695,1.7873869217548637,0.0010689818117494325,0.09260222594313751
9016402.0,2022.0,901644.0,955132.0,-8.0,1.0,70.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,100.0,60.0,100.0,0.0,66.0,68.0,69.0,0,1989,3,0.0,2021.9753424657533,1989.25,32.72534246575333,32.0,1.0,1.0,False,67.0,37.27465753424667,2295.200744537303,38.564369830113314,71.33291109782658,0.43866277783066615,6.0001492257059366e-09,2.3125192091870004e-09
9021302.0,2022.0,902136.0,921815.0,-8.0,1.0,67.0,50.0,50.0,67.0,50.0,50.0,100.0,0.0,0.0,15.0,50.0,50.0,66.0,67.0,67.0,1,1991,7,29487.673246896815,2021.9753424657533,1991.5833333333333,30.39200913242007,30.0,0.0,0.0,False,67.0,36.60799086757993,65.89093210028622,0.49260530396008884,66.73702399506394,0.042115904398184474,1.2222949129308375e-09,9.989086341140217e-07
9024502.0,2022.0,902454.0,975800.0,-8.0,1.0,80.0,50.0,20.0,,,100.0,,,,,-2.0,-2.0,,,,0,1952,5,2836.9263182541836,2021.9753424657533,1952.4166666666667,69.55867579908659,69.0,,0.0,False,65.5,,,,,,,
9029702.0,2022.0,902977.0,973475.0,-8.0,1.0,70.0,10.0,20.0,70.0,20.0,30.0,50.0,30.0,20.0,6.0,56.0,10.0,66.0,68.0,69.0,1,1995,7,27144.164057977407,2021.9753424657533,1995.5833333333333,26.39200913242007,26.0,1.0,0.0,False,67.0,43.60799086757993,65.6092891248586,1.9018934398141534,67.72978791971576,0.9632637065067694,4.597719089489897e-21,4.5303135474449144e-21
9032402.0,2022.0,903248.0,965480.0,-8.0,1.0,65.0,20.0,20.0,67.0,50.0,20.0,70.0,20.0,10.0,10.0,70.0,0.0,66.0,66.0,66.0,1,1979,2,15877.984856781375,2021.9753424657533,1979.1666666666667,42.808675799086586,42.0,0.0,1.0,False,67.0,24.191324200913414,-76.99321314978016,11.078710221894493,67.33792814411441,0.6655628459877151,3.985539264348858e-05,5.7698434823105835e-05
9033202.0,2022.0,903329.0,929166.0,-8.0,1.0,65.0,50.0,1.0,65.0,0.0,0.0,0.0,0.0,100.0,25.0,0.0,100.0,66.0,66.0,66.0,0,1992,11,8518.511245177546,2021.9753424657533,1992.9166666666667,29.058675799086586,29.0,1.0,0.0,False,67.0,35.941324200913414,2295.200744537303,38.564369830113314,71.33291109782658,0.43866277783066615,6.0001492257059366e-09,2.3125192091870004e-09
9041402.0,2022.0,906107.0,4069086.0,-8.0,1.0,65.0,70.0,40.0,66.0,70.0,50.0,60.0,30.0,10.0,20.0,60.0,30.0,65.0,66.0,66.0,1,1994,11,55566.37055539234,2021.9753424657533,1994.9166666666667,27.058675799086586,27.0,1.0,0.0,False,67.0,38.941324200913414,66.27556149283046,1.2967298203083837,67.45713359782768,0.5501989719918673,1.300464041084701e-20,9.196822594819613e-21
9043202.0,2022.0,904325.0,4029017.0,-8.0,1.0,62.0,70.0,20.0,,,,20.0,60.0,20.0,2.0,40.0,20.0,,,,1,1993,12,35789.83786551482,2021.9753424657533,1994.0,27.97534246575333,27.0,1.0,1.0,True,67.0,,68.0,2.0,68.65851066409695,1.7873869217548637,0.0010689818117494325,0.09260222594313751
9051504.0,2022.0,905151.0,4011614.0,-8.0,1.0,65.0,90.0,40.0,70.0,50.0,40.0,50.0,50.0,0.0,4.0,30.0,,60.0,65.0,65.0,0,1994,4,24013.526740813766,2021.9753424657533,1994.3333333333333,27.64200913242007,27.0,0.0,0.0,True,67.0,42.35799086757993,67.49999968432479,0.20364140373374445,67.50000015585358,0.041469349785789714,1.532064629374924e-13,2.061197209851726e-13
9053102.0,2022.0,905313.0,935239.0,-8.0,1.0,60.0,100.0,0.0,60.0,100.0,0.0,20.0,50.0,30.0,60.0,40.0,20.0,60.0,60.0,60.0,1,1995,1,12130.317103013202,2021.9753424657533,1995.0833333333333,26.89200913242007,26.0,0.0,1.0,False,67.0,33.10799086757993,68.0,2.0,68.65851066409695,1.7873869217548637,0.0010689818117494325,0.041740998238419744
9064402.0,2022.0,906441.0,924342.0,-8.0,1.0,60.0,50.0,50.0,67.0,50.0,50.0,60.0,30.0,10.0,10.0,35.0,10.0,60.0,60.0,60.0,0,1980,4,35918.599338578686,2021.9753424657533,1980.3333333333333,41.64200913242007,41.0,0.0,1.0,False,67.0,25.35799086757993,66.27556149283046,1.2967298203083837,67.45713359782768,0.5501989719918673,1.300464041084701e-20,9.196822594819613e-21
9066102.0,2022.0,906611.0,974552.0,-8.0,1.0,63.0,40.0,40.0,67.0,100.0,70.0,10.0,35.0,55.0,12.0,35.0,75.0,66.0,66.0,67.0,1,1993,2,60515.0492893204,2021.9753424657533,1993.1666666666667,28.808675799086586,28.0,0.0,0.0,False,67.0,38.191324200913414,68.60064058121392,0.8905375195782725,68.62259467985547,0.7451056642270425,2.0719924713695638e-29,6.126306115898022e-29
9066702.0,2022.0,906670.0,4029017.0,-8.0,1.0,60.0,5.0,1.0,70.0,45.0,50.0,20.0,40.0,40.0,20.0,33.0,5.0,66.0,68.0,68.0,0,1994,4,48464.88197620862,2021.9753424657533,1994.3333333333333,27.64200913242007,27.0,1.0,0.0,False,67.0,42.35799086757993,68.21461031056289,0.9717475283980261,68.2994481659242,0.7905074686105749,2.0222458742397365e-24,3.6076046894756635e-24
