age,sex,health,education,death_prob
16,0,0,0,0.0001590810826747449
16,1,0,0,0.00010678878919406282
16,0,0,1,0.00010079665412035395
16,1,0,1,0.0001087954810422752
16,0,1,0,0.0003124107488901035
16,1,1,0,0.0001946061124840172
16,0,1,1,0.00022234459342292405
16,1,1,1,0.0001556135666075911
17,0,0,0,0.00020712584929572368
17,1,0,0,0.00012250836605712424
17,0,0,1,0.00013123868809424482
17,1,0,1,0.00012481044796441043
17,0,1,0,0.0004067632719427589
17,1,1,0,0.00022325261897876604
17,0,1,1,0.0002894958468644291
17,1,1,1,0.00017852027282351995
18,0,0,0,0.000258561420842355
18,1,0,0,0.0001353761612768869
18,0,0,1,0.00016382919745901162
18,1,0,1,0.00013792004478120252
18,0,1,0,0.0005077748137068296
18,1,1,0,0.00024670219287933475
18,0,1,1,0.00036138636364192804
18,1,1,1,0.00019727133764629358
19,0,0,0,0.0003017242886168869
19,1,0,0,0.00014215088157096736
19,0,0,1,0.0001911779719377936
19,1,0,1,0.0001448220703485298
19,0,1,0,0.000592540039206686
19,1,1,0,0.0002590480766518504
19,0,1,1,0.000421714280229708
19,1,1,1,0.000207143519882716
20,0,0,0,0.0003291231394114827
20,1,0,0,0.00014247779312519918
20,0,0,1,0.00020853837985307424
20,1,0,1,0.00014515512497036183
20,0,1,0,0.000646347162917108
20,1,1,0,0.00025964382258337836
20,0,1,1,0.00046000913111801477
20,1,1,1,0.0002076198982863216
21,0,0,0,0.00034102321589474515
21,1,0,0,0.0001385478989094338
21,0,0,1,0.00021607848376185653
21,1,0,1,0.00014115138323982803
21,0,1,0,0.0006697170805935341
21,1,1,0,0.0002524821959596912
21,0,1,1,0.00047664164092298323
21,1,1,1,0.00020189322173233938
22,0,0,0,0.00034120243391407137
22,1,0,0,0.00013289998014270557
22,0,0,1,0.0002161920395436153
22,1,0,1,0.00013539733317753875
22,0,1,0,0.0006700690371850465
22,1,1,0,0.00024218973433414424
22,0,1,1,0.0004768921305284797
22,1,1,1,0.000193663024631749
23,0,0,0,0.0003350588402115678
23,1,0,0,0.00012783632883460436
23,0,0,1,0.00021229934734492468
23,1,0,1,0.00013023852967341732
23,0,1,0,0.0006580039652280001
23,1,1,0,0.00023296201011813666
23,0,1,1,0.00046830534685205925
23,1,1,1,0.00018628422723121973
24,0,0,0,0.00032827723036026285
24,1,0,0,0.000125360147700423
24,0,0,1,0.00020800239656317286
24,1,0,1,0.00012771581806975352
24,0,1,0,0.0006446859278051693
24,1,1,0,0.00022844955157294612
24,0,1,1,0.0004588268201800713
24,1,1,1,0.00018267591421667516
25,0,0,0,0.0003255387790249579
25,1,0,0,0.00012707121668640225
25,0,0,1,0.00020626726421789886
25,1,0,1,0.0001294590401329594
25,0,1,0,0.0006393080310868591
25,1,1,0,0.0002315677111294542
25,0,1,1,0.00045499933900808456
25,1,1,1,0.00018516929905256833
26,0,0,0,0.0003278184322307877
26,1,0,0,0.00013294866909759114
26,0,0,1,0.00020771169376187042
26,1,0,1,0.00013544693705738606
26,0,1,0,0.0006437849189308974
26,1,1,0,0.00024227846245160583
26,0,1,1,0.0004581855667900002
26,1,1,1,0.0001937339746067541
27,0,0,0,0.0003350301653284756
27,1,0,0,0.0001426169044248723
27,0,0,1,0.00021228117841984328
27,1,0,1,0.0001452968503413542
27,0,1,0,0.000657947652173358
27,1,1,0,0.00025989733149041155
27,0,1,1,0.00046826526851517986
27,1,1,1,0.00020782261250062187
28,0,0,0,0.00034729584657116355
28,1,0,0,0.00015579770006889944
28,0,0,1,0.00022005293612341345
28,1,0,1,0.00015872532924287905
28,0,1,0,0.0006820355612964696
28,1,1,0,0.00028391730043180493
28,0,1,1,0.0004854087771153611
28,1,1,1,0.00022702978430557108
29,0,0,0,0.0003649380683936388
29,1,0,0,0.00017215718891045717
29,0,0,1,0.00023123136727974672
29,1,0,1,0.00017539223287157905
29,0,1,0,0.0007166821681649544
29,1,1,0,0.00031372994789890634
29,0,1,1,0.0005100669738804379
29,1,1,1,0.0002508689759072811
30,0,0,0,0.00038849448485388
30,1,0,0,0.00019115283688082033
30,0,0,1,0.00024615713923411935
30,1,0,1,0.00019474483228058405
30,0,1,0,0.0007629433425533497
30,1,1,0,0.0003483465891542865
30,0,1,1,0.0005429913276268994
30,1,1,1,0.000278549601869981
31,0,0,0,0.000418538593613731
31,1,0,0,0.00021212386530654166
31,0,0,1,0.0002651936304881594
31,1,0,1,0.00021610993195768038
31,0,1,0,0.0008219453455544952
31,1,1,0,0.0003865630568895377
31,0,1,1,0.0005849834050923346
31,1,1,1,0.00030910876967574447
32,0,0,0,0.0004551564193224687
32,1,0,0,0.00023504940749267017
32,0,0,1,0.00028839534781711115
32,1,0,1,0.00023946627309721918
32,0,1,0,0.0008938571163323173
32,1,1,0,0.000428341324768605
32,0,1,1,0.000636163441287382
32,1,1,1,0.0003425160721924266
33,0,0,0,0.0004982404311684971
33,1,0,0,0.0002599711968291078
33,0,0,1,0.00031569415775191926
33,1,0,1,0.00026485637331049813
33,0,1,0,0.0009784674809319082
33,1,1,0,0.0004737574454635984
33,0,1,1,0.0006963811424487435
33,1,1,1,0.0003788323236843173
34,0,0,0,0.0005474680367170291
34,1,0,0,0.00028693792227074016
34,0,0,1,0.0003468856598854181
34,1,0,1,0.0002923298364773646
34,0,1,0,0.0010751429174885457
34,1,1,0,0.0005229001470919795
34,0,1,1,0.0007651856272865255
34,1,1,1,0.00041812847412642186
35,0,0,0,0.0006021510387738518
35,1,0,0,0.0003159565393825509
35,0,0,1,0.0003815338000156537
35,1,0,1,0.0003218937488663682
35,0,1,0,0.001182531912690822
35,1,1,0,0.0005757821050990999
35,0,1,1,0.0008416150157156213
35,1,1,1,0.0004604146592294551
36,0,0,0,0.0006611065984114123
36,1,0,0,0.0003469992259046054
36,0,0,1,0.0004188891099830185
36,1,0,1,0.00035351976540331045
36,0,1,0,0.0012983115530347546
36,1,1,0,0.0006323526177035531
36,0,1,1,0.000924016076339754
36,1,1,1,0.0005056503361505572
37,0,0,0,0.0007235389876239017
37,1,0,0,0.00038012162635677285
37,0,0,1,0.00045844740211650335
37,1,0,1,0.00038726457623658824
37,0,1,0,0.0014209191512540287
37,1,1,0,0.0006927130884681521
37,0,1,1,0.001011276635310519
37,1,1,1,0.0005539165905754479
38,0,0,0,0.0007900145353523911
38,1,0,0,0.0004156436967283014
38,0,0,1,0.000500567512686466
38,1,0,1,0.00042345414971948407
38,0,1,0,0.0015514668901778234
38,1,1,0,0.0007574465878790734
38,0,1,1,0.0011041882397812852
38,1,1,1,0.0006056796651970182
39,0,0,0,0.0008614293316935119
39,1,0,0,0.0004539827709182106
39,0,0,1,0.0005458172206017004
39,1,0,1,0.000462513661964975
39,0,1,0,0.0016917145527637013
39,1,1,0,0.0008273136426574167
39,0,1,1,0.0012040033377795354
39,1,1,1,0.0006615477026581686
40,0,0,0,0.0009389662155748168
40,1,0,0,0.0004956744274302416
40,0,0,1,0.0005949459940218143
40,1,0,1,0.0005049887556513814
40,0,1,0,0.0018439850525156438
40,1,1,0,0.0009032902620952594
40,0,1,1,0.0013123751607015464
40,1,1,1,0.0007223011526839552
41,0,0,0,0.0010241521245209658
41,1,0,0,0.0005413933560678092
41,0,0,1,0.0006489213282073925
41,1,0,1,0.0005515667988280162
41,0,1,0,0.0020112770595933373
41,1,1,0,0.0009866059643917125
41,0,1,1,0.0014314378799861484
41,1,1,1,0.000788923179213734
42,0,0,0,0.001118865263374498
42,1,0,0,0.0005919672690639683
42,0,0,1,0.000708933287751267
42,1,0,1,0.000603091057452284
42,0,1,0,0.0021972790790758326
42,1,1,0,0.0010787691275436235
42,0,1,1,0.0015638166266989453
42,1,1,1,0.0008626199318225919
43,0,0,0,0.0012247472691924413
43,1,0,0,0.0006482169230867902
43,0,0,1,0.0007760220436143478
43,1,0,1,0.0006603977112130395
43,0,1,0,0.002405215033341383
43,1,1,0,0.0011812754541024881
43,0,1,1,0.0017118058856262846
43,1,1,1,0.0009445874243749002
44,0,0,0,0.0013430670055516259
44,1,0,0,0.0007109074302844772
44,0,0,1,0.0008509915707314874
44,1,0,1,0.0007242662496507406
44,0,1,0,0.002637576775057897
44,1,1,0,0.0012955192430569883
44,0,1,1,0.0018771791231750822
44,1,1,1,0.0010359405850493102
45,0,0,0,0.0014752080355612501
45,1,0,0,0.0007809430141049044
45,0,0,1,0.0009347185197378631
45,1,0,1,0.0007956178876768377
45,0,1,0,0.00289708140911185
45,1,1,0,0.0014231483023028407
45,0,1,1,0.0020618701190997703
45,1,1,1,0.0011379970562387738
46,0,0,0,0.0016226757905836546
46,1,0,0,0.0008593530981656528
46,0,0,1,0.0010281567592002488
46,1,0,1,0.000875501393036674
46,0,1,0,0.0031866853708719476
46,1,1,0,0.00156603859775209
46,0,1,1,0.0022679829860865206
46,1,1,1,0.0012522569231291128
47,0,0,0,0.0017871190763966405
47,1,0,0,0.0009473270840789276
47,0,0,1,0.0011323510023108251
47,1,0,1,0.0009651285176522345
47,0,1,0,0.003509626660980103
47,1,1,0,0.0017263576305598706
47,0,1,1,0.0024978222285059
47,1,1,1,0.0013804533922525946
48,0,0,0,0.001970380254238882
48,1,0,0,0.0010462143514515577
48,0,0,1,0.0012484686025060724
48,1,0,1,0.0010658739976221444
48,0,1,0,0.0038695233931970653
48,1,1,0,0.001906564437124403
48,0,1,1,0.0027539628795024136
48,1,1,1,0.001524552791487931
49,0,0,0,0.0021749038578939887
49,1,0,0,0.0011571417018108956
49,0,0,1,0.0013780584606491798
49,1,0,1,0.0011788858084514418
49,0,1,0,0.004271176255431064
49,1,1,0,0.0021087124395926574
49,0,1,1,0.0030398216172950335
49,1,1,1,0.0016861971059709546
50,0,0,0,0.00240374376241128
50,1,0,0,0.0012810759586896691
50,0,0,1,0.001523055567261317
50,1,0,1,0.001305148941468524
50,0,1,0,0.00472058258800147
50,1,1,0,0.0023345635248685132
50,0,1,1,0.0033596667847614198
50,1,1,1,0.0018667951994910522
51,0,0,0,0.0026604556532941878
51,1,0,0,0.0014189352566657213
51,0,0,1,0.0016857128690525782
51,1,0,1,0.0014455987841219399
51,0,1,0,0.005224725209683891
51,1,1,0,0.0025857908517383905
51,0,1,1,0.003718468095674624
51,1,1,1,0.0020676849858626053
52,0,0,0,0.002949211726032628
52,1,0,0,0.001571533396842139
52,0,0,1,0.001868673944622307
52,1,0,1,0.0016010644298319948
52,0,1,0,0.005791797669928736
52,1,1,0,0.0028638774473084324
52,0,1,1,0.004122056948050604
52,1,1,1,0.0022900523432392707
53,0,0,0,0.0032749225543561387
53,1,0,0,0.001739538113457354
53,0,0,1,0.0020750502223906946
53,1,0,1,0.0017722261603794523
53,0,1,0,0.006431443579343448
53,1,1,0,0.0031700401543323987
53,0,1,1,0.004577296757079965
53,1,1,1,0.002534870299849689
54,0,0,0,0.0036429646788445087
54,1,0,0,0.0019237840743094043
54,0,0,1,0.002308248375810503
54,1,0,1,0.0019599343279902664
54,0,1,0,0.007154221635673398
54,1,1,0,0.0035058000262524875
54,0,1,1,0.0050917022109276035
54,1,1,1,0.0028033551409796624
55,0,0,0,0.00405786156230553
55,1,0,0,0.002126615304797782
55,0,0,1,0.0025711345528133243
55,1,0,1,0.0021665770051656577
55,0,1,0,0.00796901522328836
55,1,1,0,0.003875428688152209
55,0,1,1,0.005671595667236248
55,1,1,1,0.0030989226011401494
56,0,0,0,0.004523864256157623
56,1,0,0,0.0023513426538547075
56,0,0,1,0.002866402296542476
56,1,0,1,0.002395527255735245
56,0,1,0,0.00888417275253901
56,1,1,0,0.004284959652018952
56,0,1,1,0.006322918739448279
56,1,1,1,0.0034263972786314975
57,0,0,0,0.005045159293332248
57,1,0,0,0.0026020768603855207
57,0,0,1,0.0031967042700598437
57,1,0,1,0.0026509730644118513
57,0,1,0,0.009907915929403079
57,1,1,0,0.004741884106055548
57,0,1,1,0.007051522864748094
57,1,1,1,0.003791769378486278
58,0,0,0,0.005625682301533809
58,1,0,0,0.002883923309088225
58,0,0,1,0.0035645341583328493
58,1,0,1,0.002938115752310896
58,0,1,0,0.01104797372063018
58,1,1,0,0.005255505827150114
58,0,1,1,0.007862908794872397
58,1,1,1,0.00420247851236931
59,0,0,0,0.0062689244477787814
59,1,0,0,0.0032032324307928977
59,0,0,1,0.003972104027990153
59,1,0,1,0.0032634250826181796
59,0,1,0,0.012311202240622975
59,1,1,0,0.005837397496908712
59,0,1,1,0.008761956067336258
59,1,1,1,0.004667778584163402
60,0,0,0,0.006977409121779279
60,1,0,0,0.003565547810791513
60,0,0,1,0.00442101274443892
60,1,0,1,0.0036325488113677475
60,0,1,0,0.013702557038189957
60,1,1,0,0.006497661445276619
60,0,1,1,0.00975219157578507
60,1,1,1,0.005195747755308417
61,0,0,0,0.007751939220261883
61,1,0,0,0.003971857139311748
61,0,0,1,0.004911769037581428
61,1,0,1,0.004046493188693645
61,0,1,0,0.015223614878861105
61,1,1,0,0.007238097585493765
61,0,1,1,0.010834737513651457
61,1,1,1,0.005787825296725888
62,0,0,0,0.008591511122318367
62,1,0,0,0.0044208945035265805
62,0,0,1,0.005443736995039829
62,1,0,1,0.004503968513719842
62,0,1,0,0.01687240480572395
62,1,1,0,0.008056398986506154
62,0,1,1,0.012008191139144638
62,1,1,1,0.006442166509065683
63,0,0,0,0.009492934747204721
63,1,0,0,0.00490904996520949
63,0,0,1,0.006014895323898817
63,1,0,1,0.005001297013069087
63,0,1,0,0.018642661991449566
63,1,1,0,0.008945987092176269
63,0,1,1,0.013268093737286773
63,1,1,1,0.007153510958466709
64,0,0,0,0.010450439274698645
64,1,0,0,0.005429757471015908
64,0,0,1,0.006621587527985758
64,1,0,1,0.005531789249230541
64,0,1,0,0.02052305343379126
64,1,1,0,0.009894896282092148
64,0,1,1,0.01460637954278088
64,1,1,1,0.007912290534013995
65,0,0,0,0.011455501095800978
65,1,0,0,0.0059732096743188795
65,0,0,1,0.007258412894320206
65,1,0,1,0.006085453583549245
65,0,1,0,0.022496840077256688
65,1,1,0,0.010885254178307952
65,0,1,1,0.01601113526998954
65,1,1,1,0.008704213883599373
66,0,0,0,0.012505059166741635
66,1,0,0,0.006536193104095955
66,0,0,1,0.007923431890149723
66,1,0,1,0.006659016159955273
66,0,1,0,0.024558010503262832
66,1,1,0,0.011911204725071215
66,0,1,1,0.017478082556450877
66,1,1,1,0.009524598308872506
67,0,0,0,0.013606432751429889
67,1,0,0,0.0071281742842898895
67,0,0,1,0.008621282133601332
67,1,0,1,0.007262121389944655
67,0,1,0,0.026720938619007047
67,1,1,0,0.01298999920350554
67,0,1,1,0.01901745139765336
67,1,1,1,0.010387238512116528
68,0,0,0,0.01477071902962243
68,1,0,0,0.0077635025454619675
68,0,0,1,0.009358994998681543
68,1,0,1,0.007909388245535255
68,0,1,0,0.029007417576635792
68,1,1,0,0.014147787057371406
68,0,1,1,0.020644752109969338
68,1,1,1,0.011313044464536511
69,0,0,0,0.01601283610924797
69,1,0,0,0.008461521313831731
69,0,0,1,0.01014602286866395
69,1,0,1,0.008620523639563555
69,0,1,0,0.03144674424282656
69,1,1,0,0.01541981870019177
69,0,1,1,0.022380835448160347
69,1,1,1,0.012330203577630901
70,0,0,0,0.017352053511744472
70,1,0,0,0.009247687957239362
70,0,0,1,0.01099457526120326
70,1,0,1,0.009421463314921155
70,0,1,0,0.03407676099029878
70,1,1,0,0.01685248626195371
70,0,1,1,0.024252634054609368
70,1,1,1,0.01347581255261665
71,0,0,0,0.01881212120903304
71,1,0,0,0.01015361551853557
71,0,0,1,0.011919700588498143
71,1,0,1,0.010344414362166066
71,0,1,0,0.03694410910655965
71,1,1,0,0.0185033996417805
71,0,1,1,0.02629334281183679
71,1,1,1,0.014795938194693487
72,0,0,0,0.02041415108379031
72,1,0,0,0.011200295892841034
72,0,0,1,0.01293477572163978
72,1,0,1,0.011410763139781037
72,0,1,0,0.04009024907808937
72,1,1,0,0.02041081333374347
72,0,1,1,0.028532469395370113
72,1,1,1,0.016321170078799328
73,0,0,0,0.02217761338163589
73,1,0,0,0.012398510205880415
73,0,0,1,0.014052137360758448
73,1,0,1,0.012631493364017967
73,0,1,0,0.04355341746898983
73,1,1,0,0.02259437427813767
73,0,1,1,0.030997226995950474
73,1,1,1,0.01806721855654243
74,0,0,0,0.024124967704751733
74,1,0,0,0.013757634559251681
74,0,0,1,0.015286016316424152
74,1,0,1,0.014016157324881748
74,0,1,0,0.047377721479309375
74,1,1,0,0.025071168975297146
74,0,1,1,0.03371900697093869
74,1,1,1,0.02004774656596664
75,0,0,0,0.026282322534193298
75,1,0,0,0.015284652340198426
75,0,0,1,0.016652955394923515
75,1,0,1,0.015571869635996192
75,0,1,0,0.051614434145299544
75,1,1,0,0.027853923572354965
75,0,1,1,0.03673430064606351
75,1,1,1,0.02227293036062983
76,0,0,0,0.028679980052668256
76,1,0,0,0.016982867442087882
76,0,0,1,0.0181721546078363
76,1,0,1,0.017301996274922366
76,0,1,0,0.05632306428745325
76,1,1,0,0.030948658905853157
76,0,1,1,0.04008546080382227
76,1,1,1,0.02474758440312163
77,0,0,0,0.031356350266078616
77,1,0,0,0.018857496538657793
77,0,0,1,0.019867951230309062
77,1,0,1,0.019211851943072487
77,0,1,0,0.061579043242463445
77,1,1,0,0.03436488155980547
77,0,1,1,0.04382617237646499
77,1,1,1,0.027479310476478294
78,0,0,0,0.034375922986498726
78,1,0,0,0.02095403598046625
