sex,education,age,partner_state,lead_partner_state,proportion
Men,Low Education,30,Single,Single,0.5
Men,Low Education,30,Single,Working Partner,0.5
Men,Low Education,30,Single,Retired Partner,0.0
Men,Low Education,30,Working Partner,Single,0.5
Men,Low Education,30,Working Partner,Working Partner,0.5
Men,Low Education,30,Working Partner,Retired Partner,0.0
Men,Low Education,30,Retired Partner,Single,0.0
Men,Low Education,30,Retired Partner,Working Partner,0.0
Men,Low Education,30,Retired Partner,Retired Partner,1.0
Men,Low Education,31,Single,Single,0.5
Men,Low Education,31,Single,Working Partner,0.5
Men,Low Education,31,Single,Retired Partner,0.0
Men,Low Education,31,Working Partner,Single,0.5
Men,Low Education,31,Working Partner,Working Partner,0.5
Men,Low Education,31,Working Partner,Retired Partner,0.0
Men,Low Education,31,Retired Partner,Single,0.0
Men,Low Education,31,Retired Partner,Working Partner,0.0
Men,Low Education,31,Retired Partner,Retired Partner,1.0
Men,Low Education,32,Single,Single,0.5
Men,Low Education,32,Single,Working Partner,0.5
Men,Low Education,32,Single,Retired Partner,0.0
Men,Low Education,32,Working Partner,Single,0.5
Men,Low Education,32,Working Partner,Working Partner,0.5
Men,Low Education,32,Working Partner,Retired Partner,0.0
Men,Low Education,32,Retired Partner,Single,0.0
Men,Low Education,32,Retired Partner,Working Partner,0.0
Men,Low Education,32,Retired Partner,Retired Partner,1.0
Men,Low Education,33,Single,Single,0.5
Men,Low Education,33,Single,Working Partner,0.5
Men,Low Education,33,Single,Retired Partner,0.0
Men,Low Education,33,Working Partner,Single,0.5
Men,Low Education,33,Working Partner,Working Partner,0.5
Men,Low Education,33,Working Partner,Retired Partner,0.0
Men,Low Education,33,Retired Partner,Single,0.0
Men,Low Education,33,Retired Partner,Working Partner,0.0
Men,Low Education,33,Retired Partner,Retired Partner,1.0
Men,Low Education,34,Single,Single,0.5
Men,Low Education,34,Single,Working Partner,0.5
Men,Low Education,34,Single,Retired Partner,0.0
Men,Low Education,34,Working Partner,Single,0.5
Men,Low Education,34,Working Partner,Working Partner,0.5
Men,Low Education,34,Working Partner,Retired Partner,0.0
Men,Low Education,34,Retired Partner,Single,0.0
Men,Low Education,34,Retired Partner,Working Partner,0.0
Men,Low Education,34,Retired Partner,Retired Partner,1.0
Men,Low Education,35,Single,Single,0.5
Men,Low Education,35,Single,Working Partner,0.5
Men,Low Education,35,Single,Retired Partner,0.0
Men,Low Education,35,Working Partner,Single,0.5
Men,Low Education,35,Working Partner,Working Partner,0.5
Men,Low Education,35,Working Partner,Retired Partner,0.0
Men,Low Education,35,Retired Partner,Single,0.0
Men,Low Education,35,Retired Partner,Working Partner,0.0
Men,Low Education,35,Retired Partner,Retired Partner,1.0
Men,Low Education,36,Single,Single,0.5
Men,Low Education,36,Single,Working Partner,0.5
Men,Low Education,36,Single,Retired Partner,0.0
Men,Low Education,36,Working Partner,Single,0.5
Men,Low Education,36,Working Partner,Working Partner,0.5
Men,Low Education,36,Working Partner,Retired Partner,0.0
Men,Low Education,36,Retired Partner,Single,0.0
Men,Low Education,36,Retired Partner,Working Partner,0.0
Men,Low Education,36,Retired Partner,Retired Partner,1.0
Men,Low Education,37,Single,Single,0.5
Men,Low Education,37,Single,Working Partner,0.5
Men,Low Education,37,Single,Retired Partner,0.0
Men,Low Education,37,Working Partner,Single,0.5
Men,Low Education,37,Working Partner,Working Partner,0.5
Men,Low Education,37,Working Partner,Retired Partner,0.0
Men,Low Education,37,Retired Partner,Single,0.0
Men,Low Education,37,Retired Partner,Working Partner,0.0
