sex,education,experience,pp_per_exp
0,0,0.0,0.528133
0,0,1.0,1.140734
0,0,2.0,1.808876
0,0,3.0,2.519452
0,0,4.0,3.264792
0,0,5.0,4.039793
0,0,6.0,4.840792
0,0,7.0,5.665014
0,0,8.0,6.510281
0,0,9.0,7.374826
0,0,10.0,8.257189
0,0,11.0,9.15614
0,0,12.0,10.070625
0,0,13.0,10.999732
0,0,14.0,11.942661
0,0,15.0,12.898706
0,0,16.0,13.867238
0,0,17.0,14.847692
0,0,18.0,15.839558
0,0,19.0,16.842375
0,0,20.0,17.855718
0,0,21.0,18.879203
0,0,22.0,19.912472
0,0,23.0,20.955196
0,0,24.0,22.007072
0,0,25.0,23.067815
0,0,26.0,24.137162
0,0,27.0,25.214865
0,0,28.0,26.300694
0,0,29.0,27.39443
0,0,30.0,28.493143
0,0,31.0,29.596611
0,0,32.0,30.704621
0,0,33.0,31.816973
0,0,34.0,32.933479
0,0,35.0,34.053956
0,0,36.0,35.178235
0,0,37.0,36.306151
0,0,38.0,37.437548
0,0,39.0,38.572277
0,0,40.0,39.710196
0,0,41.0,40.851168
0,0,42.0,41.995063
0,0,43.0,43.141756
0,0,44.0,44.291126
0,0,45.0,45.445915
0,0,46.0,46.606033
0,0,47.0,47.77139
0,0,48.0,48.941902
0,0,49.0,50.117487
0,0,50.0,51.298065
0,0,51.0,52.48356
0,0,52.0,53.673898
0,0,53.0,54.869009
0,0,54.0,56.068822
0,0,55.0,57.273272
0,0,56.0,58.482293
0,0,57.0,59.695824
0,0,58.0,60.913803
0,0,59.0,62.136171
0,0,60.0,63.362872
0,1,0.0,0.57598
0,1,1.0,1.278615
0,1,2.0,2.067884
0,1,3.0,2.925024
0,1,4.0,3.838803
0,1,5.0,4.801626
0,1,6.0,5.807965
0,1,7.0,6.853585
0,1,8.0,7.935123
0,1,9.0,9.049836
0,1,10.0,10.195435
0,1,11.0,11.369978
0,1,12.0,12.571791
0,1,13.0,13.799418
0,1,14.0,15.051573
0,1,15.0,16.327118
0,1,16.0,17.625031
0,1,17.0,18.944393
0,1,18.0,20.284369
0,1,19.0,21.644201
0,1,20.0,23.023191
0,1,21.0,24.420701
0,1,22.0,25.836138
0,1,23.0,27.268955
0,1,24.0,28.718643
0,1,25.0,30.184727
0,1,26.0,31.666764
0,1,27.0,33.164338
0,1,28.0,34.677057
0,1,29.0,36.204554
0,1,30.0,37.74648
0,1,31.0,39.302509
0,1,32.0,40.872329
0,1,33.0,42.455645
0,1,34.0,44.052177
0,1,35.0,45.661658
0,1,36.0,47.283835
0,1,37.0,48.918464
0,1,38.0,50.565314
0,1,39.0,52.224164
0,1,40.0,53.894801
0,1,41.0,55.577023
0,1,42.0,57.270634
0,1,43.0,58.975447
0,1,44.0,60.691281
0,1,45.0,62.417964
0,1,46.0,64.155328
0,1,47.0,65.903213
0,1,48.0,67.661463
0,1,49.0,69.429928
0,1,50.0,71.208464
0,1,51.0,72.996932
0,1,52.0,74.795195
0,1,53.0,76.603122
0,1,54.0,78.420588
0,1,55.0,80.247468
0,1,56.0,82.083644
0,1,57.0,83.929001
0,1,58.0,85.783425
0,1,59.0,87.646808
0,1,60.0,89.519045
1,0,0.0,0.515085
1,0,1.0,1.085268
1,0,2.0,1.690376
1,0,3.0,2.321552
1,0,4.0,2.973719
1,0,5.0,3.643555
1,0,6.0,4.328702
1,0,7.0,5.027395
1,0,8.0,5.738259
1,0,9.0,6.460188
1,0,10.0,7.192277
1,0,11.0,7.933766
1,0,12.0,8.684007
1,0,13.0,9.442444
1,0,14.0,10.208593
1,0,15.0,10.982025
1,0,16.0,11.762362
1,0,17.0,12.549267
1,0,18.0,13.342434
1,0,19.0,14.141589
1,0,20.0,14.946481
1,0,21.0,15.756882
1,0,22.0,16.572581
1,0,23.0,17.393387
1,0,24.0,18.219119
1,0,25.0,19.049614
1,0,26.0,19.884717
1,0,27.0,20.724284
1,0,28.0,21.568183
1,0,29.0,22.416286
1,0,30.0,23.268476
1,0,31.0,24.124643
1,0,32.0,24.984681
1,0,33.0,25.848491
1,0,34.0,26.715981
1,0,35.0,27.587061
1,0,36.0,28.461647
1,0,37.0,29.339659
1,0,38.0,30.221022
1,0,39.0,31.105663
1,0,40.0,31.993512
1,0,41.0,32.884503
1,0,42.0,33.778574
1,0,43.0,34.675663
1,0,44.0,35.575713
1,0,45.0,36.478668
1,0,46.0,37.384474
1,0,47.0,38.293081
1,0,48.0,39.204439
1,0,49.0,40.118501
1,0,50.0,41.03522
1,0,51.0,41.954553
1,0,52.0,42.876456
1,0,53.0,43.80089
1,0,54.0,44.727815
1,0,55.0,45.657191
1,0,56.0,46.588982
1,0,57.0,47.523152
1,0,58.0,48.459666
1,0,59.0,49.398491
