age,sex,health,education,death_prob
16,0,0,0,0.00031852670118776775
16,1,0,0,0.00019695216527304253
16,0,0,1,0.00022478737039028507
16,1,0,1,0.00015766250892262592
16,0,1,0,0.00016328294172503308
16,1,1,0,0.00010826262013328122
16,0,1,1,0.00010216212712020094
16,1,1,1,0.00010860344943207935
17,0,0,0,0.00041472632947673265
17,1,0,0,0.000225944016606142
17,0,0,1,0.000292676377481254
17,1,0,1,0.0001808708245720192
17,0,1,0,0.0002125967299924015
17,1,1,0,0.0001241991485968529
17,0,1,1,0.00013301655350745644
17,1,1,1,0.00012459014882089582
18,0,0,0,0.0005177153376792577
18,1,0,0,0.00024967628429031633
18,0,0,1,0.0003653567155710334
18,1,0,1,0.00019986878207262868
18,0,1,0,0.00026539088559048685
18,1,1,0,0.000137244536940927
18,0,1,1,0.00016604856027089394
18,1,1,1,0.00013767660628519248
19,0,0,0,0.0006041399813569446
19,1,0,0,0.00026217100251971405
19,0,0,1,0.00042634742158337654
19,1,0,1,0.00020987094996754418
19,0,1,0,0.00030969382787007874
19,1,1,0,0.00014411275761505037
19,0,1,1,0.0001937678233681284
19,1,1,1,0.0001445664492961249
20,0,0,0,0.0006590004676775092
20,1,0,0,0.00026277393040142013
20,0,0,1,0.00046506299679998096
20,1,0,1,0.00021035360077972185
20,0,1,0,0.00033781637319354666
20,1,1,0,0.00014444418099460253
20,0,1,1,0.00021136340940992046
20,1,1,1,0.00014489891605332593
21,0,0,0,0.0006828278897842955
21,1,0,0,0.0002555259675681453
21,0,0,1,0.0004818782387831216
21,1,0,1,0.00020455152186737353
21,0,1,0,0.000350030770168156
21,1,1,0,0.0001404600488787096
21,0,1,1,0.0002190056576645973
21,1,1,1,0.00014090224120612182
22,0,0,0,0.0006831867365027711
22,1,0,0,0.00024510942629271307
22,0,0,1,0.0004821314803792532
22,1,0,1,0.00019621295889953844
22,0,1,0,0.00035021472192982175
22,1,1,0,0.00013473418112985112
22,0,1,1,0.00021912075176481834
22,1,1,1,0.0001351583474434143
23,0,0,0,0.0006708854709934242
23,1,0,0,0.0002357704582526704
23,0,0,1,0.00047345035846386074
23,1,0,1,0.00018873700589389317
23,0,1,0,0.00034390885553991807
23,1,1,0,0.00012960064452742628
23,0,1,1,0.0002151753260092412
23,1,1,1,0.0001300086495871938
24,0,0,0,0.0006573067111663039
24,1,0,0,0.00023120360025506712
24,0,0,1,0.0004638676964662397
24,1,0,1,0.0001850811827208029
24,0,1,0,0.0003369481208784841
24,1,1,0,0.0001270902887163504
24,0,1,1,0.00021082016525687718
24,1,1,1,0.0001274903907454156
25,0,0,0,0.0006518235333079953
25,1,0,0,0.0002343593504444222
25,0,0,1,0.00045999816487734825
25,1,0,1,0.00018760739761007316
25,0,1,0,0.00033413733796023063
25,1,1,0,0.00012882497278804888
25,0,1,1,0.00020906152740549972
