syear,cpi
2000,0.856980703745744
2001,0.874006810442679
2002,0.886492622020431
2003,0.895573212258797
2004,0.910329171396141
2005,0.925085130533485
2006,0.939841089670829
2007,0.961407491486947
2008,0.986379114642452
2009,0.989784335981839
2010,1
2011,1.02156640181612
2012,1.04086265607264
2013,1.05675368898978
2014,1.06696935300795
2015,1.07264472190692
2016,1.0783200908059
2017,1.09421112372304
2018,1.11350737797957
2019,1.12939841089671
2020,1.13507377979569
2021,1.17026106696935
2022,1.25085130533485
