sex,education,age,retirement_type,share
-1,-1,63,standard,0.15697084481430248
-1,-1,64,standard,0.10538808081122067
-1,-1,65,standard,0.09611153174076287
-1,-1,66,standard,0.08872004493952924
-1,-1,67,standard,0.08673506770903876
-1,-1,68,standard,0.036342401911262194
-1,-1,63,very_long_insured,0.0
-1,-1,64,very_long_insured,0.0
-1,-1,65,very_long_insured,0.07989866402595125
-1,-1,66,very_long_insured,0.022636289557998415
-1,-1,67,very_long_insured,0.0
-1,-1,68,very_long_insured,0.0
-1,-1,63,disability,0.023091457714878225
-1,-1,64,disability,0.01464087232422183
-1,-1,65,disability,0.007360402146617435
-1,-1,66,disability,0.004827002795398583
-1,-1,67,disability,0.0
-1,-1,68,disability,0.0
0,0,63,standard,0.25831576083259644
0,0,64,standard,0.12828208965376506
0,0,65,standard,0.08837834160941432
0,0,66,standard,0.05719848989864635
0,0,67,standard,0.02792327052581457
0,0,68,standard,0.012983810625127542
0,0,63,very_long_insured,0.0
0,0,64,very_long_insured,0.0
0,0,65,very_long_insured,0.16916366233589553
0,0,66,very_long_insured,0.024420107475681928
0,0,67,very_long_insured,0.0
0,0,68,very_long_insured,0.0
0,0,63,disability,0.025057819195973063
0,0,64,disability,0.013817087272974628
0,0,65,disability,0.0051272022311407385
0,0,66,disability,0.0019471464526222707
0,0,67,disability,0.0
0,0,68,disability,0.0
0,1,63,standard,0.09482010415022882
0,1,64,standard,0.07712640050497081
0,1,65,standard,0.10712876755562568
0,1,66,standard,0.1124940823733628
0,1,67,standard,0.09412971437588764
0,1,68,standard,0.07450291936247436
0,1,63,very_long_insured,0.0
0,1,64,very_long_insured,0.0
0,1,65,very_long_insured,0.13582925674609436
0,1,66,very_long_insured,0.05923544263847246
0,1,67,very_long_insured,0.0
0,1,68,very_long_insured,0.0
0,1,63,disability,0.015839513965598864
0,1,64,disability,0.01211140918415654
0,1,65,disability,0.006706643522171375
0,1,66,disability,0.00382673189206249
0,1,67,disability,0.0
0,1,68,disability,0.0
1,0,63,standard,0.14550312401486298
1,0,64,standard,0.10695551960971778
1,0,65,standard,0.09960672037870605
1,0,66,standard,0.0950227647402339
1,0,67,standard,0.09728115100180361
1,0,68,standard,0.03156056041054051
1,0,63,very_long_insured,0.0
1,0,64,very_long_insured,0.0
1,0,65,very_long_insured,0.029100624802972593
1,0,66,very_long_insured,0.011410793742667997
1,0,67,very_long_insured,0.0
1,0,68,very_long_insured,0.0
1,0,63,disability,0.02608255254494809
1,0,64,disability,0.016697588126159554
1,0,65,disability,0.009209254732533681
1,0,66,disability,0.006542601847018878
1,0,67,disability,0.0
1,0,68,disability,0.0
1,1,63,standard,0.08303416198153041
1,1,64,standard,0.08774187721556143
1,1,65,standard,0.09243830296461876
1,1,66,standard,0.10319718214455056
1,1,67,standard,0.13755108491950596
1,1,68,standard,0.055961977014608595
1,1,63,very_long_insured,0.0
1,1,64,very_long_insured,0.0
1,1,65,very_long_insured,0.040337329811014025
1,1,66,very_long_insured,0.023843392264444895
1,1,67,very_long_insured,0.0
1,1,68,very_long_insured,0.0
1,1,63,disability,0.018097044412833888
1,1,64,disability,0.012689381110433742
1,1,65,disability,0.006660796134480345
1,1,66,disability,0.0054754002122423175
1,1,67,disability,0.0
1,1,68,disability,0.0
