,alpha,below_sixty_savings,sra_at_ret,ret_age,working_hours,cv,base_below_sixty_savings,base_ret_age,base_sra_at_ret,base_working_hours
0,0.0,2.1127192065065747,67.0,65.91158,990.049315192783,0.00030357134111376065,2.1758200359768907,65.94557,67.0,992.7646621460742
1,0.01,2.1399912170335975,67.3463075,66.37861,999.4208107995971,4.6214942928706946e-05,2.201884124470117,66.35276,67.34585,998.1585297025285
2,0.02,2.1924323388362685,67.732175,66.45306,1001.558745726624,6.261149202643213e-05,2.2252887915452777,66.4526,67.732175,1001.8321519004433
3,0.03,2.266005556700153,68.093465,66.55511,1001.3945085725479,1.9591816552222078e-05,2.2528460277078373,66.53968,68.0907725,1003.4990934676543
4,0.0406784942515635,2.27395290185356,68.52039,67.00411,1012.9954542573603,-5.017030025776155e-05,2.281682488098332,66.99344,68.52059,1011.8631430939905
5,0.05,2.3186391484635775,68.84093,67.03078,1013.6693883715096,7.643420236450771e-05,2.3046411273200444,67.05772,68.84299,1014.6904608907688
6,0.06,2.3910287253501425,69.22769,67.16853,1014.5723339924016,-6.336647907888268e-06,2.3285806532721947,67.17564,69.2292625,1016.864742117291
7,0.07,2.3992517048914404,69.61794,67.59424,1025.231289184145,-3.565877619924229e-05,2.352673610305949,67.60769,69.6193325,1024.8030135652093
8,0.08,2.46503159359709,70.01881,67.76576,1027.1439156281021,-0.00027292719829218385,2.3788186899274484,67.72025,70.0144825,1027.0319585133614
9,0.09,2.478989218674605,70.42369,68.17694,1036.9998146309808,-0.0001417148582757605,2.4020280543519545,68.1728,70.423835,1034.7203071484003
10,0.1,2.5397126959530163,70.822715,68.21537,1037.57442515864,-6.61113885509711e-05,2.4279774148004956,68.25304,70.82569,1038.1501566185232
