,sra_at_63,cf_below_sixty_savings,cf_ret_age,cf_sra_at_ret,cf_working_hours,base_below_sixty_savings,base_ret_age,base_sra_at_ret,base_working_hours,cv
0,67.0,,,,,,,,,
1,67.25,0.5305074145286633,64.77725234996385,67.25,908.5497766962316,0.5640735984146532,63.93880694143167,67.0,884.7696115885184,-0.005261846431384616
2,67.5,0.5325335480684302,64.77232827187274,67.5,908.1475398625417,0.5640735984146532,63.93880694143167,67.0,884.7696115885184,-0.005620641142051376
3,67.75,0.5345948066083557,64.76661605206074,67.75,907.7391689394923,0.5640735984146532,63.93880694143167,67.0,884.7696115885184,-0.005973526499769106
4,68.0,0.5366741801929312,64.76203904555315,68.0,907.3449272956519,0.5640735984146532,63.93880694143167,67.0,884.7696115885184,-0.006329657740704587
5,68.25,0.5053650329002893,65.57780187997108,68.25,930.1680364984671,0.5640735984146532,63.93880694143167,67.0,884.7696115885184,-0.011488495069301179
6,68.5,0.507285477805677,65.57456254519161,68.5,929.8102486452412,0.5640735984146532,63.93880694143167,67.0,884.7696115885184,-0.011826518325504057
7,68.75,0.5092099146410363,65.57058568329718,68.75,929.435369416386,0.5640735984146532,63.93880694143167,67.0,884.7696115885184,-0.012168968074453909
8,69.0,0.511093216938354,65.56781634128706,69.0,929.0546352009679,0.5640735984146532,63.93880694143167,67.0,884.7696115885184,-0.012507639042890055
9,69.25,0.48231224528505656,66.3742154736081,69.25,951.2436636334081,0.5640735984146532,63.93880694143167,67.0,884.7696115885184,-0.017523204836304936
10,69.5,0.48408637455953624,66.37620390455531,69.5,950.9670931184634,0.5640735984146532,63.93880694143167,67.0,884.7696115885184,-0.017845487730834695
11,69.75,0.4858556085903049,66.38032537960954,69.75,950.7443545875715,0.5640735984146532,63.93880694143167,67.0,884.7696115885184,-0.01816737614181711
12,70.0,0.4876509699296725,66.3852205350687,70.0,950.5353302402866,0.5640735984146532,63.93880694143167,67.0,884.7696115885184,-0.01848874200955863
