combination_id,ft_work_value,pt_work_value,unemployed_value,partner_retired_value,children_value,log_likelihood,disutil_ft_work_good_women,disutil_ft_work_bad_women,disutil_pt_work_good_women,disutil_pt_work_bad_women,disutil_unemployed_good_women,disutil_unemployed_bad_women,disutil_partner_retired_women,disutil_children_ft_work_low,disutil_children_ft_work_high
0,0.1,0.1,0.1,0.1,0.1,42140.671726965455,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1,0.1,0.1,0.1,0.1,0.5,74479.64369664127,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.5
2,0.1,0.1,0.1,0.1,0.9,119845.69711981637,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.9,0.9
3,0.1,0.1,0.1,0.5,0.1,45859.348498488675,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.1,0.1
4,0.1,0.1,0.1,0.5,0.5,78327.17246128945,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5
5,0.1,0.1,0.1,0.5,0.9,123713.55986244828,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.9,0.9
6,0.1,0.1,0.1,0.9,0.1,50078.79578157083,0.1,0.1,0.1,0.1,0.1,0.1,0.9,0.1,0.1
7,0.1,0.1,0.1,0.9,0.5,82665.81357551905,0.1,0.1,0.1,0.1,0.1,0.1,0.9,0.5,0.5
8,0.1,0.1,0.1,0.9,0.9,128071.32763401163,0.1,0.1,0.1,0.1,0.1,0.1,0.9,0.9,0.9
9,0.1,0.1,0.5,0.1,0.1,55060.50588007388,0.1,0.1,0.1,0.1,0.5,0.5,0.1,0.1,0.1
10,0.1,0.1,0.5,0.1,0.5,87505.48084197786,0.1,0.1,0.1,0.1,0.5,0.5,0.1,0.5,0.5
11,0.1,0.1,0.5,0.1,0.9,132964.07130341892,0.1,0.1,0.1,0.1,0.5,0.5,0.1,0.9,0.9
12,0.1,0.1,0.5,0.5,0.1,57137.79554372076,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.1,0.1
13,0.1,0.1,0.5,0.5,0.5,89694.16131733598,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.5
14,0.1,0.1,0.5,0.5,0.9,135169.03052064875,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.9,0.9
15,0.1,0.1,0.5,0.9,0.1,60706.94836091444,0.1,0.1,0.1,0.1,0.5,0.5,0.9,0.1,0.1
16,0.1,0.1,0.5,0.9,0.5,93368.17866954625,0.1,0.1,0.1,0.1,0.5,0.5,0.9,0.5,0.5
17,0.1,0.1,0.5,0.9,0.9,138860.133090956,0.1,0.1,0.1,0.1,0.5,0.5,0.9,0.9,0.9
18,0.1,0.1,0.9,0.1,0.1,69613.51364170041,0.1,0.1,0.1,0.1,0.9,0.9,0.1,0.1,0.1
19,0.1,0.1,0.9,0.1,0.5,102206.27729865388,0.1,0.1,0.1,0.1,0.9,0.9,0.1,0.5,0.5
20,0.1,0.1,0.9,0.1,0.9,147692.9971805447,0.1,0.1,0.1,0.1,0.9,0.9,0.1,0.9,0.9
21,0.1,0.1,0.9,0.5,0.1,71238.5241412801,0.1,0.1,0.1,0.1,0.9,0.9,0.5,0.1,0.1
22,0.1,0.1,0.9,0.5,0.5,103925.65504971241,0.1,0.1,0.1,0.1,0.9,0.9,0.5,0.5,0.5
23,0.1,0.1,0.9,0.5,0.9,149422.8291113832,0.1,0.1,0.1,0.1,0.9,0.9,0.5,0.9,0.9
24,0.1,0.1,0.9,0.9,0.1,73569.4616387644,0.1,0.1,0.1,0.1,0.9,0.9,0.9,0.1,0.1
25,0.1,0.1,0.9,0.9,0.5,106369.32144625648,0.1,0.1,0.1,0.1,0.9,0.9,0.9,0.5,0.5
26,0.1,0.1,0.9,0.9,0.9,151882.63361590487,0.1,0.1,0.1,0.1,0.9,0.9,0.9,0.9,0.9
27,0.1,0.5,0.1,0.1,0.1,78561.696879947,0.1,0.1,0.5,0.5,0.1,0.1,0.1,0.1,0.1
28,0.1,0.5,0.1,0.1,0.5,93152.03480777817,0.1,0.1,0.5,0.5,0.1,0.1,0.1,0.5,0.5
29,0.1,0.5,0.1,0.1,0.9,130702.27633080636,0.1,0.1,0.5,0.5,0.1,0.1,0.1,0.9,0.9
30,0.1,0.5,0.1,0.5,0.1,82196.18894485578,0.1,0.1,0.5,0.5,0.1,0.1,0.5,0.1,0.1
31,0.1,0.5,0.1,0.5,0.5,97502.08297944967,0.1,0.1,0.5,0.5,0.1,0.1,0.5,0.5,0.5
32,0.1,0.5,0.1,0.5,0.9,135196.29246971535,0.1,0.1,0.5,0.5,0.1,0.1,0.5,0.9,0.9
33,0.1,0.5,0.1,0.9,0.1,86142.7838656911,0.1,0.1,0.5,0.5,0.1,0.1,0.9,0.1,0.1
34,0.1,0.5,0.1,0.9,0.5,101720.24132332308,0.1,0.1,0.5,0.5,0.1,0.1,0.9,0.5,0.5
35,0.1,0.5,0.1,0.9,0.9,139392.70271315787,0.1,0.1,0.5,0.5,0.1,0.1,0.9,0.9,0.9
36,0.1,0.5,0.5,0.1,0.1,85267.59381796137,0.1,0.1,0.5,0.5,0.5,0.5,0.1,0.1,0.1
37,0.1,0.5,0.5,0.1,0.5,62337.75877248883,0.1,0.1,0.5,0.5,0.5,0.5,0.1,0.5,0.5
